,biomass,glucose_simu,glucose_set,biomass yield,min enzyme cost,enzyme efficiency
1,0.007431151098748403,0.9999999999999795,1.0,0.04128417277082531,0.001779249836940439,4.176564158930517
3,0.022293453296245387,2.999999999999995,3.0,0.041284172770824856,0.005337781976705104,4.176538755898503
5,0.037155755493742254,4.999999999999983,5.0,0.04128417277082487,0.008896303294508108,4.176538755898683
7,0.05201805769123925,6.99999999999999,7.0,0.04128417277082486,0.012454824612312109,4.176538755898437
9,0.06688035988873602,8.999999999999964,9.0,0.04128417277082487,0.01601334593011444,4.176538755898721
11,0.08174266208623332,11.00000000000001,11.0,0.04128417277082487,0.01957186724791994,4.176538755898253
13,0.09660496428373008,12.999999999999986,13.0,0.04128417277082487,0.02313038856572232,4.176538755898469
15,0.11146726648122673,14.999999999999948,15.0,0.04128417277082486,0.026688909883524646,4.176538755898632
17,0.1263295686787238,16.999999999999964,17.0,0.04128417277082486,0.0302474312013287,4.176538755898532
19,0.14119187087622087,18.999999999999975,19.0,0.04128417277082487,0.033805952519132654,4.176538755898465
21,0.1560541730737173,20.99999999999991,21.0,0.041284172770824856,0.037364473836933886,4.176538755898698
23,0.17091647527121434,22.99999999999992,23.0,0.04128417277082486,0.04092299515473707,4.176538755898706
25,0.1857787774687117,24.99999999999998,25.0,0.04128417277082486,0.044481516472543454,4.176538755898419
27,0.20064107966620892,27.000000000000014,27.0,0.04128417277082486,0.0480400377903482,4.176538755898315
29,0.2155033818637056,28.99999999999998,29.0,0.041284172770824856,0.05159855910815002,4.176538755898451
31,0.23036568406120247,30.999999999999964,31.0,0.04128417277082487,0.055157080425953055,4.1765387558984814
33,0.24522798625869943,32.999999999999964,33.0,0.04128417277082487,0.05871560174375645,4.176538755898484
35,0.26009028845619614,34.99999999999989,35.0,0.04128417277082491,0.06227412306155803,4.176538755898604
37,0.2749525906536936,37.0,37.0,0.04128417277082486,0.06583264437936485,4.17653875589839
39,0.2898148928511905,39.0,39.0,0.041284172770824856,0.06939116569716766,4.176538755898431
41,0.3046771950486874,41.0,41.0,0.04128417277082485,0.0729496870149716,4.176538755898403
43,0.31953949724618436,43.0,43.0,0.041284172770824856,0.07650820833277401,4.176538755898463
45,0.3344017994436813,45.0,45.0,0.041284172770824856,0.0800667296505782,4.176538755898424
47,0.3492641016411782,47.0,47.0,0.04128417277082485,0.08362525096838187,4.176538755898413
49,0.36412640383867534,49.0,49.0,0.04128417277082487,0.08718377228618632,4.1765387558983695
51,0.3789887060361723,51.0,51.0,0.04128417277082487,0.09074229360398887,4.176538755898414
53,0.39385100823366903,53.0,53.0,0.04128417277082485,0.09430081492179104,4.17653875589847
55,0.4087133104311662,55.0,55.0,0.04128417277082487,0.0978593362395964,4.17653875589839
57,0.42357561262866317,57.0,57.0,0.04128417277082487,0.10141785755740025,4.176538755898376
59,0.43843791482616,59.0,59.0,0.04128417277082486,0.10497637887520372,4.176538755898377
61,0.453300217023657,61.0,61.0,0.04128417277082486,0.10853490019300652,4.176538755898405
63,0.468162519221154,63.0,63.0,0.04128417277082487,0.1120934215108106,4.176538755898383
65,0.483024821418651,65.0,65.0,0.04128417277082488,0.11565194282861498,4.176538755898353
67,0.49788712361614873,67.0,67.0,0.04128417277082494,0.11921046414642181,4.176538755898243
69,0.5127494258136459,69.0,69.0,0.04128417277082495,0.12276898546422498,4.176538755898261
71,0.5187818117574088,70.10672149629305,71.0,0.04111048291685475,0.12344340417852813,4.202588345725856
73,0.5187818117574088,70.10672149629305,73.0,0.04111048291685475,0.12344340417852813,4.202588345725856
75,0.5187818117574088,70.10672149629305,75.0,0.04111048291685475,0.12344340417852813,4.202588345725856
77,0.5187818117574088,70.10672149629305,77.0,0.04111048291685475,0.12344340417852813,4.202588345725856
79,0.5187818117574088,70.10672149629305,79.0,0.04111048291685475,0.12344340417852813,4.202588345725856
